SNo,Roll Number,Name,Branch,Hobby-1,Hobby-2,Place,Marks,Age
1,5v5,h1,cse,vibing,swimming,hyd,98,18
2,5v6,h2,ece,classes,listening,vizag,90,23
3,5v7,h3,am,dance,music,blr,67,19
4,5v8,h4,gk,sleep,movies,chennai,54,20
5,5v9,h5,itws,vibing,swimming,hyd,45,21
6,5v10,h6,eee,classes,listening,vizag,56,22
7,5v11,h7,dms,dance,music,blr,78,23
8,5v12,h8,dbms,sleep,movies,chennai,89,24
9,5v13,h9,aep,vibing,swimming,hyd,45,25
10,5v14,h10,bee,classes,listening,vizag,20,26
11,5v15,h11,cse,dance,music,blr,45,27
12,5v16,h12,ece,sleep,movies,chennai,98,28
13,5v17,h13,am,vibing,swimming,hyd,37,29
14,5v18,h14,gk,classes,listening,vizag,56,30
15,5v19,h15,itws,dance,music,blr,53,31
16,5v20,h16,eee,sleep,movies,chennai,34,32
17,5v21,h17,dms,vibing,swimming,hyd,65,33
18,5v22,h18,dbms,classes,listening,vizag,34,34
19,5v23,h19,aep,dance,music,blr,23,35
20,5v24,h20,bee,sleep,movies,chennai,98,36
